ds,AAPL,GOOG,JNJ,KO,MSFT,NVDA,PG,TSLA
2022-03-08,157.44,127.2785,168.72,58.66,275.85,215.14,146.79,274.8
2022-03-09,162.95,133.866,169.36,58.96,288.5,230.14,148.77,286.3233
2022-03-10,158.52,132.682,169.66,57.88,285.59,226.58,144.94,279.4333
2022-03-11,154.73,130.4755,169.35,57.92,280.07,221.0,143.22,265.1167
2022-03-14,150.62,126.741,171.69,58.54,276.44,213.3,145.05,255.4567
2022-03-15,155.09,129.6605,176.14,59.62,287.15,229.73,150.27,267.2967
2022-03-16,159.59,133.6905,174.52,59.46,294.39,244.96,149.76,280.0767
2022-03-17,160.62,134.6005,176.8,60.09,295.22,247.66,150.23,290.5333
2022-03-18,163.98,136.8015,174.84,60.1,300.43,264.53,150.15,301.7967
2022-03-21,165.38,136.4785,175.83,60.58,299.16,267.34,150.72,307.0533
2022-03-22,168.82,140.2775,175.0,60.8,304.06,265.24,151.88,331.3267
2022-03-23,170.21,138.5035,174.34,60.4,299.49,256.34,150.82,333.0367
2022-03-24,174.07,141.312,175.24,60.98,304.1,281.5,151.08,337.9733
2022-03-25,174.72,141.5215,176.92,61.53,303.68,276.92,152.83,336.88
2022-03-28,175.6,141.95,177.83,61.92,310.7,282.19,153.88,363.9467
2022-03-29,178.96,143.25,177.74,62.16,315.41,286.56,155.46,366.5233
2022-03-30,177.77,142.6445,179.59,62.21,313.86,276.9,154.39,364.6633
2022-03-31,174.61,139.6495,177.23,62.0,308.31,272.86,152.8,359.2
2022-04-01,174.31,140.7,178.19,62.87,309.42,267.12,155.09,361.53
2022-04-04,178.44,143.6425,176.47,62.54,314.97,273.6,154.08,381.8167
2022-04-05,175.06,141.063,177.61,62.47,310.88,259.31,154.62,363.7533
2022-04-06,171.83,137.176,182.23,63.1,299.5,244.07,156.83,348.5867
2022-04-07,172.14,136.465,181.76,63.44,301.37,242.08,158.86,352.42
2022-04-08,170.09,134.0105,182.12,63.83,296.97,231.19,160.1,341.83
2022-04-11,165.75,129.7965,179.84,63.81,285.26,219.17,159.49,325.31
2022-04-12,167.66,128.3745,179.9,64.56,282.06,215.04,159.01,328.9833
2022-04-13,170.4,130.286,180.66,64.73,287.62,222.03,159.46,340.79
2022-04-14,165.29,127.253,179.9,65.02,279.83,212.58,158.57,328.3333
2022-04-18,165.07,127.961,177.66,64.44,280.52,217.83,157.06,334.7633
2022-04-19,167.4,130.531,183.08,65.07,285.3,221.98,159.41,342.7167
2022-04-20,167.23,128.2455,183.89,65.96,286.36,214.82,163.65,325.7333
2022-04-21,166.42,124.9375,183.36,66.21,280.81,201.83,162.61,336.26
2022-04-22,161.79,119.614,181.54,65.25,274.03,195.15,161.25,335.0167
2022-04-25,162.88,123.25,186.01,65.94,280.72,199.02,162.55,332.6733
2022-04-26,156.8,119.506,184.68,65.05,270.22,187.88,159.79,292.14
2022-04-27,156.57,115.0205,182.1,65.56,283.22,184.15,159.36,293.8367
2022-04-28,163.64,119.4115,183.46,66.19,289.63,197.82,163.41,292.5033
2022-04-29,157.65,114.9665,180.46,64.61,277.52,185.47,160.55,290.2533
2022-05-02,157.96,117.157,178.64,63.44,284.47,195.33,158.38,300.98
2022-05-03,159.48,118.1295,178.29,63.08,281.78,196.02,156.21,303.0833
2022-05-04,166.02,122.575,180.2,65.03,289.98,203.34,157.36,317.54
2022-05-05,156.77,116.7465,176.76,64.51,277.35,188.44,154.46,291.0933
2022-05-06,157.28,115.66,176.37,64.74,274.73,186.75,156.0,288.55
2022-05-09,152.06,113.084,177.33,64.61,264.58,169.5,155.61,262.37
